Start Time, End Time, Duration (mins), Nap, Sleep Quality (%), Time Awake (mins), Time in REM Slep (mins),Time in Light Sleep (mins), Time In Deep Sleep (mins), SoundsRecorded, Wake-up mood,Headache,Strength
2019-03-24 12:02:47 +0000, 2019-03-24 18:10:41 +0000, 368, NO, 75, 10, 55, 123, 180, 0, Ok,0,0
2019-03-25 12:27:19 +0000, 2019-03-25 18:45:26 +0000, 378, NO, 68, 25, 10, 75, 268, 0, Ok,0,0
2019-03-26 12:14:13 +0000, 2019-03-26 18:45:18 +0000, 391, NO, 75, 15, 40, 90, 246, 0, Ok,0,0
2019-03-27 11:43:45 +0000, 2019-03-27 18:40:36 +0000, 417, NO, 80, 24, 80, 128, 185, 0, Ok,0,0
2019-03-28 12:01:44 +0000, 2019-03-28 18:44:22 +0000, 403, NO, 75, 10, 25, 95, 273, 0, Ok,0,0
2019-03-29 12:55:41 +0000, 2019-03-29 20:30:18 +0000, 455, NO, 83, 15, 105, 155, 180, 0, Ok,0,0
2019-03-30 10:59:38 +0000, 2019-03-30 19:00:19 +0000, 481, NO, 77, 15, 45, 106, 315, 0, N/A,1,5
2019-03-31 12:18:49 +0000, 2019-03-31 18:30:11 +0000, 371, NO, 72, 20, 45, 100, 206, 0, Ok,0,0
2019-04-01 11:38:58 +0000, 2019-04-01 18:30:10 +0000, 411, NO, 75, 10, 10, 91, 300, 0, Ok,0,0
2019-04-02 11:55:03 +0000, 2019-04-02 19:00:13 +0000, 425, NO, 80, 15, 75, 110, 225, 0, Ok,0,0
2019-04-03 12:20:25 +0000, 2019-04-03 18:50:17 +0000, 390, NO, 72, 32, 50, 113, 195, 0, Ok,0,0
2019-04-04 11:50:37 +0000, 2019-04-04 18:50:18 +0000, 420, NO, 80, 15, 60, 140, 205, 0, Ok,0,0
2019-04-05 13:07:15 +0000, 2019-04-05 20:01:12 +0000, 414, NO, 78, 15, 40, 135, 224, 0, N/A,0,0
2019-04-06 13:08:51 +0000, 2019-04-06 20:38:40 +0000, 450, NO, 80, 25, 170, 125, 130, 0, Ok,0,0
2019-04-07 13:11:28 +0000, 2019-04-07 19:31:32 +0000, 380, NO, 78, 10, 30, 120, 220, 0, Not Good,1,5
2019-04-08 12:33:34 +0000, 2019-04-08 19:31:31 +0000, 418, NO, 75, 15, 25, 120, 258, 0, Ok,0,0
2019-04-09 12:37:51 +0000, 2019-04-09 20:30:17 +0000, 472, NO, 83, 10, 57, 145, 260, 0, Ok,0,0
2019-04-10 11:41:07 +0000, 2019-04-10 20:30:11 +0000, 529, NO, 87, 10, 95, 140, 284, 0, Not Good,1,3
